,雛型請求書,,,,,,,,,,,連絡帳,企業請求書作成
,請求書リスト,分類,顧客名,弊社担当,担当者名,締め日,,,電話番号,FAX番号,郵便番号,住所,メモ
✅,株式会社ナガワ 岐阜営業所,工事業者,株式会社ナガワ 岐阜営業所,社長,佐竹様、星野様,末締め（自社控え）請求書作成後経理へ渡す※郵送はしない,,,058-248-5121,058-248-5324,5016002,岐阜県羽島郡岐南町三宅8-224-1,
,株式会社ナガワ神戸営業所,工事業者,株式会社ナガワ 神戸営業所,社長,松尾様,末締め（自社控え）請求書作成後経理へ渡す※郵送はしない,,,,,,,
✅,株式会社ナガワ　東京支店請求書リスト,工事業者,株式会社ナガワ　東京支店,社長,久保様,末締め（自社控え）請求書作成後経理へ渡す※郵送はしない,,,03-5288-8661,,100-0005,東京都千代田区丸の内1-4-1　丸の内永楽ビルディング22Ｆ,
,株式会社ナガワ　埼玉営業所　,工事業者,株式会社ナガワ　埼玉営業所　,社長,人見様,末締め（自社控え）請求書作成後経理へ渡す※郵送はしない,,,,,,,
,㈱ナガワ安城営業所,工事業者,株式会社ナガワ 安城営業所,社長,折笠様,末締め（自社控え）請求書作成後経理へ渡す※郵送はしない,,,0566-77-7703,0566-77-7705,4460073,安城市篠目町竜田73-1,Wics 郵送不要
,株式会社ナガワ　熊本支店,工事業者,株式会社ナガワ 　熊本営業所,社長,水元様,末締め（自社控え）請求書作成後経理へ渡す※郵送はしない,,,096-320-3333,,861-4106,熊本県熊本市南区南高江６丁目６-11,Wics 郵送不要
,株式会社ナガワ　名古屋支店,工事業者,株式会社ナガワ 名古屋支店,社長,和田様,末締め（自社控え）請求書作成後経理へ渡す※郵送はしない,,,052-971-8820,052-971-8821,4600003,愛知県名古屋市中区錦3-4-6桜通大津第一生命ビルディング11F,Wics 郵送不要
,株式会社ナガワ　豊田展示場,工事業者,株式会社ナガワ　豊田展示場,,,末締め（自社控え）請求書作成後経理へ渡す※郵送はしない,,,,,,,
,,工事業者,株式会社ナガワ　奈良営業所,社長,岡本様,末締め（自社控え）請求書作成後経理へ渡す※郵送はしない,,,0745-54-0310,,635-0825,奈良県北葛城郡広陵町大字安部121-2,Wics 郵送不要
,株式会社ナガワ　岐阜営業所請求書リスト,工事業者,株式会社ナガワ 三重営業所,社長,森様,末締め（自社控え）請求書作成後経理へ渡す※郵送はしない,,,059-348-4900,059-345-7885,5100881,三重県四日市市大字六呂見東浦670-1,Wics 郵送不要
✅,葵建設株式会社請求書リスト ,工事業者,葵建設株式会社,智明,眞鍋様、嶋田様,末締め,,,052-265-5872,052-265-5872,453-0821,名古屋市中村区大宮町3-5-3,
,,工事業者,株式会社Aoi,智明,,末締め,葵建設関連,,,,,,
✅,㈱アトラクトパートナーズ,工事業者,株式会社アトラクトパートナーズ,智明,黒田　光城、植田,末締め,,,,,611-0042,京都府宇治市小倉町春日森31,
,イマイ商事株式会社,工事業者,イマイ商事株式会社,智明,鈴木 裕之 ,末締め,末締めの翌月5日必着　翌月28日に支払い,,,,,,
✅,株式会社SDA,工事業者,株式会社SDA,智明,瀬川様,末締め,,,052-938-6692,052-768-7445,465-0025,名東区上社1丁目1813-2発明ビル4階,
✅,株式会社ウラシコ請求書リスト,工事業者,株式会社ウラシコ,智明,浦志様,末締め,,,052-526-1222,052-526-1333,454-0982,愛知県名古屋市中川区西伏屋2丁目617番地,
,有限会社オリオール,工事業者,有限会社オリオール,智明,谷村様,末締め,,,052-861-5371,,467-0024,愛知県名古屋市瑞穂区春山町1番地の13,
